contract_id|policyholder_id|start_date|end_date|cancel_reason
Ttyi-06838287|wjxtobA|2021-12-11||
TNng-81568952|uMwpMTf|2021-01-07||
DSlw-62689188|GiTKmnE|2021-12-12||
CRlk-24797121|OKNZVgr|2021-03-24||
UDXX-89888896|lCILzlo|2022-05-17||
ZnDI-90574023|GVRaPXF|2020-08-29||
wxjm-56704414|talDDUL|2020-06-27||
quXE-54819136|fiKTmRG|2022-01-19||
pgBd-58392410|vWuCcKq|2021-10-26||
lMcM-22650508|RKEogfa|2021-04-05||
fNtx-09003129|WTMEGDp|2022-01-17||
zMNF-39829912|cLbLPHX|2020-10-06||
ZZch-02947654|dEzUZKC|2021-02-23||
idyQ-37638390|RLDrxQw|2022-06-29||
hhdY-26978597|sxnBrxa|2020-07-28||
Fzee-23881272|gTowdgL|2021-07-22||
jrMw-28736755|jOQHaTi|2021-09-10||
XquO-34125631|LdquxBj|2021-05-18||
gsdB-63456603|HrIVEUM|2021-08-01||
kKna-71698317|YLoGXbd|2021-09-12||
DIuu-18357489|qOcNpUG|2021-01-24||
DNwm-48150319|fwJWCCD|2020-10-10||
CowG-56179268|vzuUtNA|2021-12-12||
IAkc-08634461|LCmXfAE|2022-01-22||
oNRE-07206308|DvEPbSl|2021-10-24||
UxUz-16403612|BbGWuha|2021-06-26||
UgcM-16292572|GkkqgFM|2021-06-02||
piGe-91174516|HILSWfe|2021-12-26||
lEtt-82088422|tqdHphy|2021-03-28||
pDPo-49332326|wkxAOAe|2020-06-23||
iHLd-44559524|yMqfhUc|2022-02-27||
EHSl-35154578|BPtOWlq|2022-04-07||
ZAXA-17591700|XnXxyGL|2020-11-08||
seAH-31675371|flRtoMj|2022-05-20||
BOuy-77101915|iQMeBEK|2021-03-30||
igIi-79708357|tGstWZi|2020-10-27||
VNio-29800733|yQIxVJT|2022-01-06||
ITpY-00063216|kqLbAev|2020-06-09||
nSrG-74123652|bySRgXl|2021-12-01||
Atjc-54523996|gsXitVv|2022-04-29|2022-06-13|no_risk_for_theft
fqSJ-19478819|JuExRgo|2020-08-06||
IqTv-76482336|jveyOdn|2020-11-26||
vcHl-23274252|RWpgcNy|2021-08-28||
AOnz-78071113|coTrnCA|2021-03-27||
eCZK-08483864|BVpQtHV|2022-02-18||
objc-06614302|KLTSFXH|2021-02-27||
zWpg-72408258|ILsBRpl|2020-10-27||
gYdM-94572089|YncjVXD|2022-02-16||
wnJr-73446067|dfVHPgi|2021-11-26||
axqT-80630050|GbCyJLA|2021-09-18||
phHl-50635964|BwKBqJQ|2021-07-09||
FmMG-85926618|qSYgNVU|2021-04-14||
EnNX-43016641|szCBgQN|2020-07-13||
LTsL-42398835|FaNeUjl|2021-04-02||
DtjG-68382192|JBiiaYb|2022-02-20||
Vcoj-95712218|UpLzALc|2021-01-13||
Wjet-15856606|LjHxqiA|2022-01-25||
DwRb-20747279|mIgdpgf|2020-11-09||
DofY-37098344|PDolWgC|2020-05-27||
OWNa-11346968|fsIWWEw|2021-12-11||
oEzb-97926409|dQkWOGk|2020-08-23||
HJEh-17187894|qMTDoId|2021-08-14||
Ylml-39734623|zdckTZA|2022-02-16||
fYDf-48905636|vMNfGbv|2021-10-15|2022-09-28|premium_not_paid
fitX-59659978|VlMhTly|2022-05-17||
ZWmx-19289795|RzXoCEb|2021-06-04||
Fbzt-99791891|FiGLSPB|2022-06-13||
PUsU-60992668|yHDGHnF|2021-02-10||
JRAo-28839748|CnnPvCd|2022-01-02||
zvDg-61969826|SaUNOlw|2021-01-16|2021-06-10|too_expensive
stTO-55508776|dUQqNYV|2020-05-26||
wLdn-07641101|FCkGdCa|2022-05-04||
RDGp-68413617|lrLfEQj|2020-10-18||
qGKz-64337626|phKvfiO|2021-09-21||
opoT-41966721|BGQVnGt|2021-06-15||
YTaD-64381869|yasQEaO|2021-07-03||
KDnp-68097645|gCPPEro|2020-06-10||
EgCt-29234263|BRcUWnc|2021-09-17||
kmZc-41397919|fNNfvew|2022-01-10||
XNSj-86820362|KQxRWxG|2021-09-01||
eWLw-20957924|hDKOiFw|2021-05-30||
TRMN-82002087|qrbngTF|2021-09-23||
HKFf-12958271|xEnqXUS|2020-12-09||
pDQq-49304438|fQIitRo|2020-05-24||
Rjfe-84519207|dYJDnja|2022-03-16|2022-08-06|too_expensive
dXwg-61855745|wCMZFtg|2021-06-25||
uIHC-53730256|dAQbEBE|2020-07-31||
wmyT-83389496|GqFdVlT|2021-12-10||
JCnh-56175990|GUnRfVx|2020-12-29||
FBld-22443155|SPSsPud|2022-03-16||
OgUm-71398292|EHVkXPO|2021-11-04||
QjdP-09201915|cqxzfBS|2021-08-10||
rflE-63790351|mefmrAP|2021-08-28||
xFqs-67585032|JFUHTBz|2022-05-10||
XABQ-42629682|mMpBmqx|2021-01-29||
cnFu-65533652|fwggcJc|2022-01-10||
hWQR-12738148|FQINmva|2021-02-15||
qGlO-68495087|PPDLokh|2021-11-15||
lrlX-18242709|rrjobRH|2020-09-02||
BBaL-17621570|jjHpbku|2021-01-19||
jkFd-37865595|MxLBmJD|2020-09-27||
SpbO-84024365|EqAKtqH|2022-03-25||
Zdid-59549891|GUyskgk|2021-09-09||
Robq-21178325|JDaVQhm|2020-06-26||
zAZE-48135570|caMXlWA|2021-03-01||
MEjC-51868321|RHJwIny|2020-11-23||
qguk-77493420|izemQfK|2021-04-23|2022-10-29|no_risk_for_theft
tWMn-79624337|kYvbZNN|2021-10-19||
yJds-76537312|DkEoDSe|2022-06-01||
YGzH-51868822|zlBlbAN|2021-09-10||
PogF-79876799|kdFVgZz|2022-06-25||
dEBv-97418660|jEaibjc|2021-12-04||
ALPN-77264647|jQuvDMp|2020-08-29||
oTgv-63029303|LGCARhF|2021-01-07||
MZlk-97872636|HbMMcvj|2020-08-11||
pkVd-75980365|htsatmj|2021-12-22||
qSbY-23530689|HYaZSTH|2021-12-27||
hNbl-89912249|zvUqgnK|2021-03-04||
yyAf-36338515|ZvxWltF|2021-08-08||
aLBM-75964587|vuTGQQB|2022-05-19||
JdWj-81928573|QkAITSk|2021-04-14||
snkc-81770087|aVogIAv|2021-11-27||
viEg-33087866|MWKOIiW|2021-02-14||
NfGB-48728395|wYLRVEM|2020-12-15||
Bbbm-66230436|sQTyYxb|2021-11-23||
SJaY-31546731|aajNOAK|2021-05-02||
TPGS-37875920|VffXUHC|2021-11-04|2022-02-08|no_risk_for_theft
Umli-22516621|pOjidhh|2021-01-17||
MvsV-90528773|cqyCYtZ|2020-08-04||
voEe-58547620|NgSxAcT|2022-04-28||
aGmc-18323458|jvmrSLF|2021-10-25||
pSlX-20226305|ctkfaIf|2021-08-21||
THZq-38951959|MZANJGJ|2021-06-20|2022-03-03|premium_not_paid
nkeo-66637266|aYDdPuD|2022-02-23||
ckcx-74018588|NPDkSds|2020-09-24||
aPzC-89833063|fpFFgVp|2020-09-12||
EvIt-35371308|fBPanrT|2021-10-09||
sndf-71644640|fCLYkRk|2022-04-28||
cFEw-14528306|dTZZrOE|2020-07-12||
iQCG-41750644|egxFaWX|2020-06-15||
MKmH-61113804|wqubAZU|2021-03-25||
yshc-86534611|PRAplAi|2020-07-19||
rfPF-70226979|xQvjHGQ|2021-07-01||
erRm-28334779|KvcGsry|2021-07-18||
kBLS-14069314|IsVgrrc|2020-08-28||
ijrG-29187341|cEXKMnC|2022-01-27||
FIzw-72949752|CxXTeuZ|2021-10-13||
kRoz-18013288|moZFWIw|2020-08-15||
KuVd-36476741|hKVMhle|2021-04-30||
BWVg-54887362|GSgQJsI|2021-04-16||
iKgy-05514994|FuGVYwO|2021-05-29||
oEhp-09321750|GmvfJOV|2021-03-21||
OOtw-85004028|RjIfDWm|2021-05-07||
kOdr-79767951|HbeoeAM|2021-03-18||
meRc-19722323|nnsffoN|2021-01-28||
GKTB-99523282|OmWvSqc|2020-10-18||
piqe-03121557|kolvuKb|2021-08-13|2022-04-17|no_risk_for_theft
mfvE-41776326|txqPycR|2021-10-20||
XegG-18751243|WhfGBzW|2021-02-13||
toww-13019678|jtGLOus|2021-12-07||
bQvD-76489655|NjiSdTN|2020-08-01||
jrYh-09023696|UyadInD|2022-01-18||
NOpY-15023018|ahrUbWi|2020-12-03||
Quwc-49470049|RcbJwtQ|2020-06-20||
JvsZ-26854607|XjEDNTz|2021-09-01||
wJaU-35102581|KatJbYj|2020-07-21||
rbQh-76782817|gcEPKJx|2021-10-20||
mObm-96500838|QSDBTTr|2021-02-15||
HVHZ-99513614|RUkxnhO|2021-07-04||
seJU-86862153|GaIgfjZ|2022-04-16||
SWQs-14242689|qEYflzO|2021-11-15||
DUUB-87968781|zbijgvu|2021-07-04||
tWym-95188896|jeomOMj|2020-06-25||
hFij-25199298|GNkuXzP|2020-08-22||
BQiR-40182179|FpRFTCE|2022-06-13||
qKNj-65021968|fRrMjlM|2022-03-18||
qTNw-50907768|ObpuXaY|2021-05-19||
NhsQ-10850294|GCxlZEY|2021-12-02||
hXNJ-61635254|ezyfymn|2021-08-14||
TKGN-63726615|nhuUMPZ|2021-11-16||
rHss-93598824|tQjggKq|2021-10-22||
pROA-95573103|gCVybpA|2021-12-24|2022-09-10|premium_not_paid
uRBC-88629663|jkcnykp|2022-03-31||
hJdX-61706702|lNnAqpg|2020-05-29||
RCbC-63251091|ZIksnCG|2020-05-23||
yEej-28474504|ZNfNXVz|2022-04-26||
vzQT-28673179|CbscVrX|2022-06-26||
rEoQ-30495610|DlQmJVs|2021-07-09||
iIjH-45425015|XsyRsUu|2020-10-04||
mDat-66048689|JZVymrr|2021-03-03||
ytdz-14047350|bTCtdbi|2020-07-31||
SARP-14127587|tdBzfjv|2022-05-28||
HfkX-10678809|gpgQQbE|2021-03-18||
FhUd-92046695|jCnMlyV|2021-01-26||
gZHv-36939956|llnKvuX|2021-04-17||
NjrX-17175212|WNRvxVy|2021-01-20||
dLyr-77884606|wjZdQiG|2022-02-01||
